epoch,total_loss,pde1_loss,pde2_loss,pde3_loss,dissipated_power_loss,volume_loss,pde1_loss_smooth,pde2_loss_smooth,pde3_loss_smooth,dissipated_power_loss_smooth,volume_loss_smooth
0,1724109.625,924748.7640380859,181947.04055786133,30.251309375,239.183625,0.522827880859375,92.4748764038086,18.194704055786133,685385.1948881522,797278.75,241335.00754599273
1,1737685.625,826993.5607910156,155120.42999267578,30.192696875000003,224.326725,0.5120821533203125,82.69935607910156,15.512042999267578,773743.1419010162,747755.75,216088.57333157212
2,1707805.75,739584.8846435547,130609.19761657715,30.112921875,210.3589875,0.5006113586425781,73.95848846435547,13.060919761657715,813481.1096827313,701196.625,193040.9831121303
3,1654078.25,661567.9931640625,108465.70014953613,30.0159875,197.21870625000003,0.48835321044921876,66.15679931640625,10.846570014953613,824615.9581677318,657395.6875,171989.54157463834
4,1586003.125,592491.4932250977,88772.49717712402,29.904400000000003,184.92723750000002,0.47524978637695314,59.249149322509766,8.877249717712402,816748.9667539597,616424.125,152761.9429307431
5,1509301.875,531968.0023193359,71539.87884521484,29.779912500000002,173.51355,0.4612548217773438,53.196800231933594,7.153987884521484,795650.9387395978,578378.5,135212.07629591227
6,1427840.0,479577.75115966797,56711.19213104248,29.643809375,163.00303125,0.44633950805664063,47.9577751159668,5.671119213104248,765226.6136311367,543343.4375,119216.2364937067
7,1344401.625,434822.88360595703,44173.35033416748,29.497134375,153.41238750000002,0.4304944763183594,43.4822883605957,4.417335033416748,728310.790683791,511374.625,104668.27870371193
8,1261066.75,397128.4866333008,33768.61333847046,29.3407875,144.747009375,0.41373352050781254,39.71284866333008,3.376861333847046,687057.9935488701,482490.03125,91475.67583622411
9,1179413.875,365851.47857666016,25306.84232711792,29.17555,136.99905,0.39609613037109376,36.585147857666016,2.530684232711792,643155.8590826988,456663.5,79555.34207156673
10,1100633.5,340297.9278564453,18575.109243392944,29.002068750000003,130.146328125,0.3776512451171875,34.02979278564453,1.8575109243392944,597945.1551102698,433821.09375,68831.46298564784
11,1025602.5,319746.0174560547,13347.432613372803,28.820878125,124.151896875,0.3585002746582031,31.97460174560547,1.3347432613372803,552496.5588124506,413839.65625,59232.93108423008
12,954931.5625,303470.2491760254,9394.463896751404,28.632353125,118.964925,0.33877828979492186,30.34702491760254,0.9394463896751404,507659.54017490894,396549.75,50690.99911652738
13,889004.25,290766.29638671875,6492.840647697449,28.436678125,114.52220625000001,0.3186513366699219,29.076629638671875,0.6492840647697449,464096.3073812984,381740.6875,43137.55111976247
14,828009.625,280972.7478027344,4433.544278144836,28.23385,110.7505875,0.2983123474121094,28.097274780273438,0.44335442781448364,422308.4705209732,369168.625,36504.013927985216
15,771972.25,273487.18643188477,3028.511106967926,28.02364375,107.56994062500002,0.27797174072265624,27.348718643188477,0.3028511106967926,382657.60305763036,358566.46875,30720.521805665456
16,720783.0,267777.3094177246,2114.8966252803802,27.8056375,104.89640625,0.2578464050292969,26.77773094177246,0.21148966252803802,345385.55749720335,349654.6875,25715.77824853477
17,674229.625,263386.3067626953,1556.8576753139496,27.579271875,102.645825,0.23814793395996095,26.33863067626953,0.15568576753139496,310632.8617137149,342152.75,21417.506812855136
18,634637.125,259933.2046508789,1245.1191246509552,27.343928125,100.736765625,0.21907109069824218,25.99332046508789,0.12451191246509552,281024.650353346,335789.21875,17797.095933030127
19,601152.5,257107.31506347656,1094.9047654867172,27.098650000000003,99.09378750000002,0.20078572082519533,25.710731506347656,0.10949047654867172,256045.41387847066,330312.625,14768.666611073306
20,572792.0,254661.40747070312,1042.8793728351593,26.842312500000002,97.6489875,0.18342951965332033,25.466140747070312,0.10428793728351593,235019.74750656635,325496.625,12250.037459796178
21,548669.25,252403.73611450195,1043.6654090881348,26.573759375,96.3433125,0.16710414123535156,25.240373611450195,0.10436654090881348,217332.6815768797,321144.375,10166.87542110309
