epoch,total_loss,pde1_loss,pde2_loss,pde3_loss,dissipated_power_loss,volume_loss,pde1_loss_smooth,pde2_loss_smooth,pde3_loss_smooth,dissipated_power_loss_smooth,volume_loss_smooth
0,1724109.625,924748.7640380859,181947.04055786133,30.251309375,239.183625,0.522827880859375,92.4748764038086,18.194704055786133,685385.1948881522,797278.75,241335.00754599273
1,1737685.625,826993.5607910156,155120.42999267578,30.192696875000003,224.326725,0.5120821533203125,82.69935607910156,15.512042999267578,773743.1419010162,747755.75,216088.57333157212
2,1707805.75,739584.8846435547,130609.19761657715,30.112921875,210.3589875,0.5006113586425781,73.95848846435547,13.060919761657715,813481.1096827313,701196.625,193040.9831121303
3,1654078.25,661567.9931640625,108465.70014953613,30.0159875,197.21870625000003,0.48835321044921876,66.15679931640625,10.846570014953613,824615.9581677318,657395.6875,171989.54157463834
4,1586003.125,592491.4932250977,88772.49717712402,29.904400000000003,184.92723750000002,0.47524978637695314,59.249149322509766,8.877249717712402,816748.9667539597,616424.125,152761.9429307431
5,1509301.875,531968.0023193359,71539.87884521484,29.779912500000002,173.51355,0.4612548217773438,53.196800231933594,7.153987884521484,795650.9387395978,578378.5,135212.07629591227
6,1427840.0,479577.75115966797,56711.19213104248,29.643809375,163.00303125,0.44633950805664063,47.9577751159668,5.671119213104248,765226.6136311367,543343.4375,119216.2364937067
7,1344401.625,434822.88360595703,44173.35033416748,29.497134375,153.41238750000002,0.4304944763183594,43.4822883605957,4.417335033416748,728310.790683791,511374.625,104668.27870371193
8,1261066.75,397128.4866333008,33768.61333847046,29.3407875,144.747009375,0.41373352050781254,39.71284866333008,3.376861333847046,687057.9935488701,482490.03125,91475.67583622411
9,1179413.875,365851.47857666016,25306.84232711792,29.17555,136.99905,0.39609613037109376,36.585147857666016,2.530684232711792,643155.8590826988,456663.5,79555.34207156673
10,1100633.5,340297.9278564453,18575.109243392944,29.002068750000003,130.146328125,0.3776512451171875,34.02979278564453,1.8575109243392944,597945.1551102698,433821.09375,68831.46298564784
